年份,试卷文件,题型板块,题号,题目文本,匹配题型ID,匹配题型名称,所属专题,所属章节,难度等级,匹配分数,备选题型
2024,2024年重庆中考数学模拟冲刺预测试题.docx,三、解答题,21,人造月亮、飞马踏冰、冻梨变刺身、豆腐脑放糖、吃地瓜配勺、热气球在松花江起飞…隆冬伊始，各大社交媒体平台上与哈尔滨相关的热词频出．甲、乙两名记者为了进一步了解游客对“冰雪大世界”的喜爱程度，各自随机调查了20名游客的游玩时长（单位：小时），分别记为甲组、乙组，并对收集的数据进行了整理、描述和分析（游玩时长用x表示，共分为四个等级：其中，，，），下面给出部分信息： 甲组游客的游玩时长在C等级中的全部数据为：4，4，4，5，5，5，5； 乙组游客的游玩时长中，B，D两等级的数据个数相同；A，C两等级的全部数据为：4，4，4，4，4，4，4，5，5，5； 甲、乙两组游客游玩时长统计表： 根据以上信息，回答下列问题： (1)填空： ； ；甲组扇形统计图中C所在扇形的圆心角的度数为 ； (2)根据以上数据分析，从甲、乙两组游客的游玩时长来看，哪个组更喜欢玩“冰雪大世界”？请说明理由（写出一条理由即可）； (3)甲，乙记者调查当天入园游客约30000人，请你估计当天共有多少名游客的游玩时长低于4小时？,382,从扇形统计图分析数据,统计概率,第二章 数据分析,lv2,74,统计图的选择(63) | 弧、弦、圆心角、圆周角的关系(57) | 数据的收集与整理过程(42)
2024,2024年重庆中考数学模拟冲刺预测试题.docx,三、解答题,22,喜迎熊猫丫丫回国，重庆一玩具加工厂计划甲车间加工熊猫玩偶600个．工作5天后还未加工完，于是增加了工人人数，增加工人后每天加工玩偶的个数比增加前多加工20个，又加工了两天才完成了任务． (1)求甲车间增加工人人数后每天加工熊猫玩偶的个数； (2)由于该玩偶深受消费者喜欢，工厂决定扩大生产，安排乙车间加工生产该熊猫玩偶1000个，该车间在加工完成一半后，改进了加工技术，每天比改进技术前多加工，结果提前2天完成任务，求乙车间改进技术前每工天加工玩偶的个数．,57,工程问题,代数,第三章 一元一次方程,lv2,71,配套问题(47)
2024,2024年重庆中考数学模拟冲刺预测试题.docx,三、解答题,23,如图，在等腰中，，，，动点从点出发，沿运动，点运动到点时停止运动，过点作交于点，记，点的运动路程为． (1)求出y关于x的函数关系式，并注明x的取值范围，并在下面的平面直角坐标系中直接画出y的函数图象； (2)根据所画的函数图象，写出该函数的一条性质 ； (3)在射线上有一动点，始终满足，利用所求函数解决问题：当时，直接写出的取值范围．,331,一次函数图象和性质,函数,第二章 一次函数的性质和图象,lv2,215,二次函数图象判断(208) | 反比例函数的图象性质(208)
2024,2024年重庆中考数学模拟冲刺预测试题.docx,三、解答题,24,为了满足市民健身需求，市政部门在某公园内沿湖边修建了四边形循环步道，如图，经勘测，点在点的正南方，点在点的正东方，点在点的东北方向，点在点的南偏西方向，点在点的北偏西方向米处．（参考数据：，，） (1)求的长度（结果精确到米）； (2)小沙准备从点跑步到点去见小渝，小沙决定选择一条较短线路，请计算说明小沙应选择路线，还是路线？,57,工程问题,代数,第三章 一元一次方程,lv2,47,平行线分线段成比例(35) | 数据的收集与整理过程(11) | 统计图的选择(11)
2024,2024年重庆中考数学模拟冲刺预测试题.docx,三、解答题,25,如图1，在平面直角坐标系中，抛物线过点且交x轴于点A，B两点，交y轴于点C． (1)求抛物线的表达式； (2)如图2，点D是线段的中点，连接，点P是直线下方抛物线上的一动点，连接，，且交于点M，求的最大值及此时点P的坐标； (3)如图3，点F为y轴正半轴上一点，且满足，将该抛物线沿射线方向平移后的新抛物线过点，点E为新抛物线对称轴在x轴上方的一点，作射线，射线，是否存在点E，使得射线，中一条射线平分另一条射线与新抛物线对称轴组成的角，请写出所有符合条件的点E的坐标，并写出求解点E的坐标的其中一种情况的过程．,347,求二次函数的解析式,函数,第三章 二次函数,lv2,155,二次函数图象和性质判断(143) | 二次函数中的图形面积问题(107) | 判断轴对称图形(51)
2024,2024年重庆中考数学模拟冲刺预测试题.docx,三、解答题,26,如图，在△ABC和△ADE中，∠BAC＝∠AED＝90°，AB＝AC，EA＝ED． （1）如图1，当点A、C、D在同一直线上时，且AC＝CD＝2，连接CE、BE、BD，求线段BE的长； （2）如图2，当点A、C、D不在同一直线上时，连接CD、BD，F为CD的中点，连接EF，求证：EF＝BD； （3）在（2）的条件下，若AD＝6，M为AD边上一动点，如图3，连接EM，将△AEM沿EM所在直线翻折，点A的对应点为A'，H为AE边上一点，且HE＝2，连接A'H、A'D，请直接写出当3HA'+A'D取最小值时，△AEA'的面积．,280,直线和圆的位置关系,几何,第九章 圆,lv2,33,正数、负数和0(23) | 数轴的概念(23) | 矩形翻折问题(19)
2024,2024年重庆中考数学模拟试题.docx,一、单选题,1,6的相反数为 A．-6	B．6	C．	D．,4,求一个数的相反数,代数,第一章 有理数,lv1,53,
2024,2024年重庆中考数学模拟试题.docx,一、单选题,2,篆刻是一种传统的艺术形式，因古代印章多采用篆书入印而得名，它是书法和镌刻（包括凿、铸）的结合，下列四幅篆刻作品中是轴对称图形的是（    ） A．	B． C．	D．,241,判断轴对称图形,几何,第五章 轴对称,lv1,51,轴对称的应用(36) | 点的对称规律(15)
2024,2024年重庆中考数学模拟试题.docx,一、单选题,3,计算的结果是（    ） A．	B．	C．	D．,375,频数和频率的计算,统计概率,第一章 数据的收集、整理和描述,lv2,11,实数的简单计算(10) | 有理数加减计算(10)
2024,2024年重庆中考数学模拟试题.docx,一、单选题,4,已知反比例函数的图像经过两点，当时，则k的值可能为（    ） A．	B．	C．0	D．1,361,已知反比例函数求参,函数,第四章 反比例函数,lv2,58,反比例函数的图象性质(58) | 求反比例函数解析式(58) | 反比例函数和一次函数图象判断问题(19)
2024,2024年重庆中考数学模拟试题.docx,一、单选题,5,如图，与位似，点O是它们的位似中心，且，若的周长为2，则的周长为（    ） A．18	B．8	C．6	D．4,289,位似,几何,第十章 相似三角形,lv2,35,三角形三边关系(23)
2024,2024年重庆中考数学模拟试题.docx,一、单选题,6,计算的结果为（    ） A．4	B．3	C．1	D．,375,频数和频率的计算,统计概率,第一章 数据的收集、整理和描述,lv2,11,实数的简单计算(10) | 有理数加减计算(10)
2024,2024年重庆中考数学模拟试题.docx,一、单选题,7,用若干个大小相同的小正方形按如图所示的规律拼图案，其中第①个图案有7个小正方形，第②个图案有10个小正方形，第③个图案有15个小正方形，…，按此规律排列下去，则第⑤个图案中小正方形的个数为（    ） A．22	B．25	C．27	D．31,265,正方形的性质,几何,第七章 平行四边形,lv2,47,正方形的判定(47) | 数图排列规律(39) | 数式排列规律(15)
2024,2024年重庆中考数学模拟试题.docx,一、单选题,8,如图，为的切线，切点为A，连接与交于点C，D为上一点，连接，，若，，则的长为（    ） A．	B．	C．	D．,284,与切线有关辅助线,几何,第九章 圆,lv4,23,直线和圆的位置关系(23)
2024,2024年重庆中考数学模拟试题.docx,一、单选题,9,如图，在正方形中，E，F分别为的中点，与相交于点P，连接，则的度数为（    ） A．	B．	C．	D．,265,正方形的性质,几何,第七章 平行四边形,lv2,47,正方形的判定(47) | 线段中点计算问题(17) | 中点坐标公式(17)
2024,2024年重庆中考数学模拟试题.docx,一、单选题,10,在多项式中，对相邻的两个字母间任意添加括号后再在括号前添加“−”号，化简后的式子含有“+”的运算，称此为对多项式进行“添加操作”（一次性操作，不反复进行）． 例如：，… 下列说法： ①“添加操作”不能使其结果与原多项式相等； ②任何“添加操作”，其结果与原多项式之差都能被2整除； ③所有的“添加操作”共有6种不同运算结果． 其中说法正确的个数为（    ） A．0	B．1	C．2	D．3,28,整式的概念,代数,第二章 整式及其加减计算,lv1,35,整式的加减(35) | 二次根式的性质与化简(28) | 整式化简求值(17)
2024,2024年重庆中考数学模拟试题.docx,二、填空题,11,计算：________．,375,频数和频率的计算,统计概率,第一章 数据的收集、整理和描述,lv2,11,实数的简单计算(10) | 有理数加减计算(10)
2024,2024年重庆中考数学模拟试题.docx,二、填空题,12,如图，，与交于点G，若，则的度数为________．,,未匹配,,,,0,
2024,2024年重庆中考数学模拟试题.docx,二、填空题,13,某同学在时刻静止站在体重秤上，随后完成“下蹲”和“站起”的动作，体重秤的示数F随时间t的变化情况如图所示，则该同学对力传感器的最小压力约为________N．,1,正数、负数和0,代数,第一章 有理数,lv1,23,数轴的概念(23) | 字母扩大倍数求分式值的变化(11) | 依据判别式判断根的情况(11)
2024,2024年重庆中考数学模拟试题.docx,二、填空题,14,2024年春晚节目精彩纷呈，纸牌魔术更是惊艳全场，让人印象深刻．受节目影响，小蓝选择了三张背面相同，正面图案不同的纸牌，对折撕开后随意打乱，然后背面朝上摞在一起，从这六张不完整的纸牌中随机抽取两张，则这两张纸牌恰好能拼成一张图案完整的纸牌的概率是________．,393,概率的意义,统计概率,第三章 概率初步,lv1,25,求随机事件的概率(25) | 数图排列规律(23) | 统计图的选择(11)
2024,2024年重庆中考数学模拟试题.docx,二、填空题,15,如图，在菱形中，对角线，交于点O，过点O作交于点E，以点O为圆心，长为半径画弧，分别交，，，于点M，N，P，Q，若，，则图中阴影部分的面积为________．（结果保留π）,281,弧长和扇形面积,几何,第九章 圆,lv2,71,菱形的性质(31) | 菱形的判定(31)
2024,2024年重庆中考数学模拟试题.docx,二、填空题,16,若关于x的一元一次不等式组的解集为，且关于y的分式方程有非负数解，则所有满足条件的整数a的值之和是________．,92,解一元一次不等式组,代数,第六章 不等式及不等式组,lv2,44,不等式的基本性质(36) | 解分式方程(24) | 分式方程应用题(24)
2024,2024年重庆中考数学模拟试题.docx,二、填空题,17,如图，在中，，D，E分别为上的点，将沿直线翻折，使得点B的对应点G恰好落在上，点C的对应点为点F，连接，若，则折痕的长为________．,280,直线和圆的位置关系,几何,第九章 圆,lv2,33,矩形翻折问题(19) | 直角三角形翻折问题(19)
2024,2024年重庆中考数学模拟试题.docx,二、填空题,18,100岁被称为期颐之年，这个称呼来源于《礼记・曲礼上》中的“百年日期颐”．现规定：一个正四位数各数位上的数字均不为0，若去掉十位和个位后组成的两位数与去掉千位和百位后组成的两位数之和为100，则称这个四位数为“期颐数”，例如：四位数2377，∵，∴2377是“期颐数”；又例如：四位数3684，∵，∴3684不是“期颐数”，则能被2整除的“期颐数”共有________个；对于“期颐数”m，若将千位与百位交换，十位与个位交换，得到另一个四位数，则．若四位数为“期颐数”，其中，则四位数A为________．,36,定义新运算,代数,第二章 整式及其加减计算,lv2,35,
2024,2024年重庆中考数学模拟试题.docx,三、解答题,19,计算： (1)； (2),375,频数和频率的计算,统计概率,第一章 数据的收集、整理和描述,lv2,11,实数的简单计算(10) | 有理数加减计算(10)
